date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:17:41	67574/67574	---M-Z	200	added ('OK')	text/html	etag:%22107f6-605b264a55680-gzip%22	https://mannatthemes.com/robotech/default/customers-stores.html	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/customers-stores.html	(from https://mannatthemes.com/robotech/default/index.html)
19:17:42	66079/66079	---M-Z	200	added ('OK')	text/html	etag:%221021f-605b264a55680-gzip%22	https://mannatthemes.com/robotech/default/customers-wishlist.html	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/customers-wishlist.html	(from https://mannatthemes.com/robotech/default/index.html)
19:17:42	54647/54647	---M-Z	200	added ('OK')	text/html	etag:%22d577-605b264a546e0-gzip%22	https://mannatthemes.com/robotech/default/customers-order-track.html	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/customers-order-track.html	(from https://mannatthemes.com/robotech/default/index.html)
19:17:42	56205/56205	---M-Z	200	added ('OK')	text/html	etag:%22db8d-605b264a546e0-gzip%22	https://mannatthemes.com/robotech/default/customers-invoice.html	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/customers-invoice.html	(from https://mannatthemes.com/robotech/default/index.html)
19:17:43	194933/194933	---M-Z	200	added ('OK')	text/html	etag:%222f975-6053ab3054ede-gzip%22	https://mannatthemes.com/robotech/default/apps-chat.html	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/apps-chat.html	(from https://mannatthemes.com/robotech/default/index.html)
19:17:43	127576/127576	---M-Z	200	added ('OK')	text/html	etag:%221f258-6053ab3054ede-gzip%22	https://mannatthemes.com/robotech/default/apps-contact-list.html	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/apps-contact-list.html	(from https://mannatthemes.com/robotech/default/index.html)
19:17:43	118599/118599	---M-Z	200	added ('OK')	text/html	etag:%221cf47-6053ab3054ede-gzip%22	https://mannatthemes.com/robotech/default/apps-calendar.html	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/apps-calendar.html	(from https://mannatthemes.com/robotech/default/index.html)
19:17:43	138149/138149	---M-Z	200	added ('OK')	text/html	etag:%2221ba5-6053ab3054ede-gzip%22	https://mannatthemes.com/robotech/default/apps-files.html	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/apps-files.html	(from https://mannatthemes.com/robotech/default/index.html)
19:17:44	128453/128453	---M-Z	200	added ('OK')	text/html	etag:%221f5c5-6053ab3054ede-gzip%22	https://mannatthemes.com/robotech/default/apps-invoice.html	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/apps-invoice.html	(from https://mannatthemes.com/robotech/default/index.html)
19:17:44	222261/222261	---M-Z	200	added ('OK')	text/html	etag:%2236435-6053ab3054ede-gzip%22	https://mannatthemes.com/robotech/default/apps-email-inbox.html	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/apps-email-inbox.html	(from https://mannatthemes.com/robotech/default/index.html)
19:17:44	155516/155516	---M-Z	200	added ('OK')	text/html	etag:%2225f7c-6053ab3054ede-gzip%22	https://mannatthemes.com/robotech/default/apps-email-read.html	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/apps-email-read.html	(from https://mannatthemes.com/robotech/default/index.html)
19:17:45	155231/155231	---M-Z	200	added ('OK')	text/html	etag:%2225e5f-6053ab30bb785-gzip%22	https://mannatthemes.com/robotech/default/ui-alerts.html	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/ui-alerts.html	(from https://mannatthemes.com/robotech/default/index.html)
19:17:45	138385/138385	---M-Z	200	added ('OK')	text/html	etag:%2221c91-6053ab30bb785-gzip%22	https://mannatthemes.com/robotech/default/ui-avatars.html	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/ui-avatars.html	(from https://mannatthemes.com/robotech/default/index.html)
19:17:45	195309/195309	---M-Z	200	added ('OK')	text/html	etag:%222faed-6053ab30bb785-gzip%22	https://mannatthemes.com/robotech/default/ui-buttons.html	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/ui-buttons.html	(from https://mannatthemes.com/robotech/default/index.html)
19:17:45	136497/136497	---M-Z	200	added ('OK')	text/html	etag:%2221531-6053ab30bb785-gzip%22	https://mannatthemes.com/robotech/default/ui-badges.html	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/ui-badges.html	(from https://mannatthemes.com/robotech/default/index.html)
19:17:46	165176/165176	---M-Z	200	added ('OK')	text/html	etag:%2228538-6053ab30bc725-gzip%22	https://mannatthemes.com/robotech/default/ui-cards.html	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/ui-cards.html	(from https://mannatthemes.com/robotech/default/index.html)
19:17:46	127494/127494	---M-Z	200	added ('OK')	text/html	etag:%221f206-6053ab30bc725-gzip%22	https://mannatthemes.com/robotech/default/ui-carousels.html	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/ui-carousels.html	(from https://mannatthemes.com/robotech/default/index.html)
19:17:46	200070/200070	---M-Z	200	added ('OK')	text/html	etag:%2230d86-6053ab30bc725-gzip%22	https://mannatthemes.com/robotech/default/ui-dropdowns.html	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/ui-dropdowns.html	(from https://mannatthemes.com/robotech/default/index.html)
19:17:47	156154/156154	---M-Z	200	added ('OK')	text/html	etag:%22261fa-6053ab30bc725-gzip%22	https://mannatthemes.com/robotech/default/ui-grids.html	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/ui-grids.html	(from https://mannatthemes.com/robotech/default/index.html)
19:17:47	124405/124405	---M-Z	200	added ('OK')	text/html	etag:%221e5f5-6053ab30bc725-gzip%22	https://mannatthemes.com/robotech/default/ui-images.html	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/ui-images.html	(from https://mannatthemes.com/robotech/default/index.html)
19:17:47	133038/133038	---M-Z	200	added ('OK')	text/html	etag:%22207ae-6053ab30bc725-gzip%22	https://mannatthemes.com/robotech/default/ui-lists.html	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/ui-lists.html	(from https://mannatthemes.com/robotech/default/index.html)
19:17:47	247824/247824	---M-Z	200	added ('OK')	text/html	etag:%223c810-6053ab30bd6c5-gzip%22	https://mannatthemes.com/robotech/default/ui-modals.html	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/ui-modals.html	(from https://mannatthemes.com/robotech/default/index.html)
19:17:48	129323/129323	---M-Z	200	added ('OK')	text/html	etag:%221f92b-6053ab30bd6c5-gzip%22	https://mannatthemes.com/robotech/default/ui-navs.html	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/ui-navs.html	(from https://mannatthemes.com/robotech/default/index.html)
19:17:48	152796/152796	---M-Z	200	added ('OK')	text/html	etag:%22254dc-6053ab30bd6c5-gzip%22	https://mannatthemes.com/robotech/default/ui-navbars.html	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/ui-navbars.html	(from https://mannatthemes.com/robotech/default/index.html)
19:17:48	157691/157691	---M-Z	200	added ('OK')	text/html	etag:%22267fb-6053ab30bd6c5-gzip%22	https://mannatthemes.com/robotech/default/ui-paginations.html	C:/Mes%20Sites%20Web/2A/mannatthemes.com/robotech/default/ui-paginations.html	(from https://mannatthemes.com/robotech/default/index.html)
